Year,County,Hospital,OSHPDID,Surgery,# of Cases,Location 1
2006,Placer,Sutter Auburn Faith Hospital,106310791,LAPRYBG,37,"(38.94452, -121.0982)"
2009,Orange,Chapman Medical Center,106301140,VSG,6,"(33.78785, -117.82586)"
2011,Placer,Sutter Roseville Medical Center,106311000,LAPBAND,6,"(38.76439, -121.25055)"
2012,Los Angeles,Marina Del Rey Hospital,106190500,LAPBAND,35,"(33.98125, -118.43971)"
2012,San Mateo,Sequoia Hospital,106410891,VSG,6,"(37.48129, -122.25377)"
2013,Los Angeles,Marina Del Rey Hospital,106190500,LAPBAND,39,"(33.98125, -118.43971)"
2013,Los Angeles,Olympia Medical Center,106190534,LAPBAND,1,"(34.05754, -118.36008)"
2014,Los Angeles,Huntington Memorial Hospital,106190400,VSG,122,"(34.13565, -118.1518)"
2005,Riverside,Southwest Healthcare System – Murrieta,106334068,LAPRYBG,464,"(33.55788, -117.18488)"
2008,San Diego,Alvarado Hospital,106370652,OPENRYGB,2,"(32.77708, -117.05683)"
2010,San Mateo,Sequoia Hospital,106410891,VSG,4,"(37.48129, -122.25377)"
2005,,STATEWIDE,,BPD,362,
2005,,STATEWIDE,,LAPBAND,661,
2005,,STATEWIDE,,LAPRYBG,10185,
2005,,STATEWIDE,,OPENRYGB,2285,
2005,,STATEWIDE,,VSG,157,
2006,,STATEWIDE,,BPD,235,
2006,,STATEWIDE,,LAPBAND,1161,
2006,,STATEWIDE,,LAPRYBG,10511,
2006,,STATEWIDE,,OPENRYGB,993,
2006,,STATEWIDE,,VSG,323,
2007,,STATEWIDE,,BPD,213,
2007,,STATEWIDE,,LAPBAND,2003,
2007,,STATEWIDE,,LAPRYBG,9264,
2007,,STATEWIDE,,OPENRYGB,578,
2007,,STATEWIDE,,VSG,462,
2008,,STATEWIDE,,BPD,204,
2008,,STATEWIDE,,LAPBAND,2992,
2008,,STATEWIDE,,LAPRYBG,9784,
2008,,STATEWIDE,,OPENRYGB,505,
2008,,STATEWIDE,,VSG,623,
2009,,STATEWIDE,,BPD,133,
2009,,STATEWIDE,,LAPBAND,3142,
2009,,STATEWIDE,,LAPRYBG,9929,
2009,,STATEWIDE,,OPENRYGB,365,
2009,,STATEWIDE,,VSG,1002,
2010,,STATEWIDE,,BPD,112,
2010,,STATEWIDE,,LAPBAND,2742,
2010,,STATEWIDE,,LAPRYBG,9277,
2010,,STATEWIDE,,OPENRYGB,331,
2010,,STATEWIDE,,VSG,2147,
2011,,STATEWIDE,,BPD,97,
2005,Los Angeles,Olympia Medical Center,106190534,LAPBAND,59,"(34.05754, -118.36008)"
2011,,STATEWIDE,,LAPBAND,1552,
2011,,STATEWIDE,,LAPRYBG,8280,
2011,,STATEWIDE,,OPENRYGB,333,
2011,,STATEWIDE,,VSG,5700,
2012,,STATEWIDE,,BPD,80,
2012,,STATEWIDE,,LAPBAND,476,
2012,,STATEWIDE,,LAPRYBG,6556,
